Word,E,P,A
AARDVARK,6.26,2.41,4.27
ABALONE,5.3,2.65,4.95
ABANDON,2.84,3.73,3.32
ABANDONMENT,2.63,4.95,2.64
ABBEY,5.85,2.2,5.0
ABDOMEN,5.43,3.68,5.15
ABDOMINAL,4.48,3.5,5.32
ABDUCT,2.42,5.9,2.75
ABDUCTION,2.05,5.33,3.02
ABIDE,5.52,3.26,5.33
ABIDING,5.57,3.59,6.6
ABILITY,7.0,4.85,6.55
ABJECT,4.0,3.94,4.35
ABLAZE,5.15,6.75,4.58
ABLE,6.64,3.38,6.17
ABNORMAL,3.53,4.48,4.7
ABNORMALITY,3.05,5.0,3.96
ABODE,5.28,2.9,5.05
ABOLISH,3.84,4.18,4.65
ABOMINABLE,4.05,5.45,4.62
ABOMINATION,2.5,5.9,3.8
ABORT,3.1,5.8,3.38
ABORTION,2.58,5.43,4.73
ABRACADABRA,5.11,5.27,4.96
ABRASIVE,4.26,6.1,4.94
ABREAST,4.62,4.61,5.19
ABRUPT,3.28,5.23,3.75
ABSCESS,2.79,4.0,3.95
ABSENCE,3.86,4.3,4.24
ABSENT,4.1,3.72,4.21
ABSINTHE,3.53,3.7,3.95
ABSOLUTE,5.43,3.48,5.58
ABSOLUTION,6.58,3.38,5.75
ABSOLVE,4.58,3.53,4.82
ABSORB,5.5,4.27,5.62
ABSTAIN,4.4,3.1,6.08
ABSTINENCE,3.43,3.15,5.64
ABSTRACT,5.25,3.96,5.53
ABSURD,4.45,4.02,5.06
ABSURDITY,4.06,4.7,5.37
ABUNDANCE,6.67,4.72,5.66
ABUNDANT,7.55,4.21,5.81
ABUSE,1.53,6.21,2.9
ABUSIVE,2.05,5.27,3.58
ABYSMAL,3.45,3.91,3.76
ABYSS,3.9,4.85,4.0
ACADEMIC,6.61,3.32,6.21
ACADEMY,5.32,3.77,5.38
ACCELERANT,4.59,4.81,6.04
ACCELERATE,6.1,6.04,6.15
ACCELERATED,6.21,4.75,6.29
ACCELERATION,6.19,6.73,5.76
ACCELERATOR,5.63,5.0,6.65
ACCENT,6.48,4.95,5.36
ACCEPT,6.39,2.8,5.94
ACCEPTABLE,6.59,3.65,6.58
ACCEPTANCE,6.84,4.3,6.49
ACCESS,6.68,5.3,6.89
ACCESSIBLE,6.68,3.2,6.58
ACCESSORY,5.35,4.22,5.83
ACCIDENT,2.55,4.93,3.0
ACCIDENTAL,3.46,4.0,3.41
ACCLAIM,6.1,3.95,5.77
ACCOMMODATE,6.35,3.0,6.27
ACCOMMODATION,6.76,4.72,6.0
ACCOMPANY,5.47,3.85,5.63
ACCOMPLICE,4.6,4.5,5.2
ACCOMPLISH,7.45,5.16,7.27
ACCOMPLISHMENT,8.05,4.96,6.5
ACCORD,6.38,2.85,5.64
ACCORDION,5.26,2.94,5.21
ACCOUNT,5.39,3.76,5.06
ACCOUNTABILITY,4.89,3.7,6.55
ACCOUNTABLE,5.7,4.2,5.57
ACCOUNTANT,5.19,3.81,5.72
ACCOUNTING,4.42,3.68,4.48
ACCUMULATE,6.33,2.73,6.15
ACCURACY,6.32,3.33,6.74
ACCURATE,7.42,4.35,6.47
ACCURSED,3.21,5.33,4.13
ACCUSATION,3.38,5.48,3.62
ACCUSE,2.68,5.32,4.0
ACE,6.37,4.64,6.61
ACETYLENE,4.11,3.67,4.7
ACHE,3.27,4.3,4.0
ACHIEVE,7.75,4.7,6.61
ACHIEVEMENT,7.28,5.57,7.17
ACHY,3.15,4.48,4.62
ACID,3.26,4.77,4.26
ACKNOWLEDGE,6.43,3.26,6.11
ACKNOWLEDGEMENT,6.53,3.3,6.71
ACNE,2.18,4.47,3.44
ACORN,5.85,4.42,4.77
ACOUSTIC,7.1,4.0,5.79
ACOUSTICS,6.33,3.19,5.86
ACQUAINTANCE,5.58,3.24,5.29
ACQUIRE,5.5,4.86,7.0
ACQUISITION,5.0,4.36,5.93
ACQUIT,5.6,4.56,5.45
ACQUITTAL,6.19,4.95,5.03
ACRE,5.53,2.73,4.94
ACREAGE,5.25,3.74,5.52
ACROBAT,6.0,4.9,5.42
ACRYLIC,5.52,3.73,5.42
ACT,5.64,4.19,6.11
ACTION,6.0,6.19,6.17
ACTION_FIGURE,6.18,4.65,6.71
ACTIVATE,5.7,3.78,6.28
ACTIVATION,6.14,3.52,6.88
ACTIVE,6.47,5.62,6.32
ACTIVIST,6.24,5.26,5.86
ACTIVITY,6.21,4.86,6.45
ACTOR,6.15,4.35,5.64
ACTRESS,5.42,5.43,4.65
ACTUAL,6.22,2.75,5.54
ACTUALITY,5.4,5.55,5.24
ACUPUNCTURE,4.81,4.9,4.77
ACUTE,5.1,5.09,5.11
AD,4.11,3.33,5.18
ADAGE,5.55,3.38,5.13
ADAMANT,5.45,5.74,6.38
ADAPT,5.84,3.9,5.75
ADAPTATION,5.82,3.55,6.04
ADD,6.23,4.0,6.79
ADDER,4.45,3.24,4.41
ADDICT,2.86,5.33,2.74
ADDICTED,2.89,4.77,2.84
ADDICTION,3.52,4.48,3.84
ADDICTIVE,3.52,4.82,4.4
ADDITIONAL,6.15,3.61,4.95
ADDRESS,6.11,3.05,4.89
ADEPT,6.14,4.17,6.5
